"FOLIO","TIPO SERVICIO","ESTATUS","ZONA","FECHA SERVICIO","OPERADOR","TECNICO","COMPAÑIA","TIENDA","MARCA","MODELO","NUMERO DE SERIE","COMENTARIOS","COMENTARIOS","COMENTARIOS"
"202189","Icon","Nueva","Local","2020-03-13","Yuridia.Rivas","VICTOR","sears","cuautitlan -121","proform","PFEL55916","","","",""
"202188","Icon","Nueva","Local","2020-03-13","Yuridia.Rivas","VICTOR","sears","cuautitlan -121","proform","PFEL55916","","","",""
"202187","Icon","Nueva","Local","2020-03-12","Yuridia.Rivas","VICTOR","liverpool","tlanepantla - 186","proform","","","pfel62919","",""
"202186","Icon","Nueva","Foraneo","2020-03-11","maya","Leon Guanajuato - Julio","liverpool","leon sur - 166","proform","PFTL49616-MX","","","",""
"202185","Icon","Nueva","Local","2020-03-17","victor","VICTOR","liverpool","coapa - 6","nordic track","NTEL05917","","","",""
"202184","Icon","Nueva","Local","2020-03-16","victor","VICTOR","liverpool","coapa - 6","nordic track","25027","","","",""
"202183","Icon","Nueva","Local","2020-03-11","victor","VICTOR","liverpool","coapa - 6","proform","PFTL49616-MX","","","llamar 1 hora antes de llegar",""
"202182","Icon","Nueva","Local","2020-03-13","victor","VICTOR","liverpool","coapa - 6","proform","otro","","PFTL39519","",""
"202181","Icon","Nueva","Local","2020-03-16","victor","VICTOR","liverpool","coapa - 6","nordic track","NTRW59147","","","",""
"202180","Icon","Nueva","Foraneo","2020-03-11","Yuridia.Rivas","Leon Guanajuato - Julio","liverpool","leon - 71","proform","","","PFEL62919","",""
"202179","Icon","Nueva","Foraneo","2020-03-12","victor","ESPERA_DE_PARTES","liverpool","liverpool","nordic track","24860","MM130C0A04734","","",""
"202178","Icon","Nueva","Foraneo","2020-03-12","victor","ESPERA_DE_PARTES","liverpool","liverpool","nordic track","24860","mm641h1b00231","","",""
"202177","Tecnoservicio","Nueva","Foraneo","2020-03-11","OSCARADMIN","Guadalajara - Miguel","otro","otro","otro","otro","","proform 525 ct","mantenimiento $750",""
"202176","Icon","Nueva","Foraneo","2020-03-11","cristina","Monterrey - Reynaldo Saldivar","sears","esfera - 252","proform","PFEL55916","","","",""
"202175","Icon","Nueva","Foraneo","2020-03-12","victor","ESPERA_DE_PARTES","liverpool","liverpool","nordic track","24860","mm051h1b00014","","",""
"202174","Icon","Nueva","Foraneo","2020-03-12","victor","ESPERA_DE_PARTES","liverpool","liverpool","proform","PFTL49616-MX","mm940c0305440","","",""
"202173","Icon","Nueva","Local","2020-03-10","maya","gustavo","liverpool","polanco - 3","weslo","WLTL29816","","","CONFIRMADO / IMPORTANTE LLAMAR 1HR ANTES DE IR",""
"202172","Tecnoservicio","Nueva","Local","2020-03-11","cristina","tecnico_ausente","otro","otro","otro","otro","","","REV $650",""
"202171","Icon","Nueva","Foraneo","2020-03-12","victor","ESPERA_DE_PARTES","sears","sears","weider","wesy1938","mm820t1112016","","",""
"202170","Icon","Nueva","Foraneo","2020-03-12","victor","ESPERA_DE_PARTES","liverpool","liverpool","nordic track","NTEL05917","mm840g0807742","ANDAR PLASTICOS A TIENDA LIVERPOOL CHIHUAHUA -42","",""
"202169","Icon","Nueva","Foraneo","2020-03-11","victor","Culiacan-Arturo Lopez","sears","culiacan forum - 225","proform","PFEL55916","","","",""
"202168","Icon","Nueva","Foraneo","2020-03-11","Yuridia.Rivas","Aguascaliente- Jose Gomez","sears","aguascalientes plaza altaira - 231","proform","","","pfel34616","",""
"202167","eComerce","Terminada","Local","2020-03-11","cristina","tecnico_ausente","otro","otro","otro","otro","","Venta #2348649496 | 7 de marzo de 2020 07:57 hs.","Llave Para Caminadora Proform Gold's Gym  CUADRADA  $560",""
"202166","Icon","Nueva","Local","2020-03-12","cristina","VICTOR","liverpool","tlanepantla - 186","proform","PFTL49616-MX","","","",""
"202165","Icon","Nueva","Foraneo","2020-03-12","victor","ESPERA_DE_PARTES","liverpool","liverpool","nordic track","NTRW59147","mm231r0100621","","",""
"202164","Icon","Nueva","Local","2020-03-10","Yuridia.Rivas","DAVID.","liverpool","parque delta - 81","nordic track","25049","","","llamar 1 hora antes de llegar",""
"202163","Icon","Nueva","Foraneo","2020-03-12","victor","Veracruz - Martin Gonzalez","liverpool","veracruz - 73","proform","PFTL49616-MX","","","",""
"202162","Tecnoservicio","Nueva","Local","2020-03-11","OSCARADMIN","tecnico_ausente","otro","otro","otro","otro","","","mantenimiento $750",""
"202161","Icon","Nueva","Foraneo","2020-03-11","cristina","Morelia - Manuel Parrales","sears","morelia las americas - 236","proform","PFTL60916","","","",""
"202160","Icon","Nueva","Local","2020-03-12","maya","VICTOR","liverpool","insurgentes - 2","nordic track","NTEL05917","","","",""
"202159","Icon","Nueva","Local","2020-03-11","maya","VICTOR","liverpool","insurgentes - 2","proform","otro","","","PFEL62919/ llamar 1 hora antes de llegar",""
"202158","Tecnoservicio","Nueva","Local","2020-03-10","victor","VICENTE","otro","otro","otro","otro","","ELIPTICA NORDCITRACK
TIENE PROBLEMAS CON UNA PIEZA DESGASTADA ( AL PARECER UNA RUEDA )
REV $450.00","",""
"202157","Icon","Nueva","Local","2020-03-10","cristina","JUAN.GONZALEZ","liverpool","liverpool","proform","otro","","LAS ANTENAS 456","PFEL62919/ llamar 1 hora antes de llegar",""
"202156","Icon","Nueva","Foraneo","2020-03-12","cristina","Morelia - Manuel Parrales","sears","morelia las americas - 236","proform","otro","","","PFTL99918",""
"202155","eComerce","Terminada","Local","2020-03-11","cristina","tecnico_ausente","otro","otro","otro","otro","","Venta #2348500417 | 7 de marzo de 2020 00:11 hs. |","Llave Para Caminadora Gold's Gym Y Proform  $ 560  redonda",""
"202154","Icon","Nueva","Local","2020-03-11","cristina","VICTOR","liverpool","torreon - 43","nordic track","25049","","","LLAMAR 1 HORA ANTES DE IR / HORARIO DE 10 A 1",""
"202153","Tecnoservicio","Nueva","Local","2020-03-10","Yuridia.Rivas","VICENTE","otro","otro","nordic track","","","","armado $750",""
"202152","Icon","Nueva","Local","2020-03-13","maya","VICTOR","liverpool","perisur - 5","nordic track","25027","","","",""
"202151","Icon","Nueva","Local","2020-03-10","victor","ABRAHAM","liverpool","lindavista - 83","proform","otro","","PFEL62919","llamar 1 hora antes de llegar",""
"202150","eComerce","Terminada","Local","2020-03-09","cristina","tecnico_ausente","otro","otro","golds gym","otro","","Venta #2000000482729111 | 6 de marzo de 2020 21:53 hs.","Lubricante Caminadoras Uso Rudo Lubrigym Pro 2pack 385 Ml  $ 505",""
"202149","Icon","Nueva","Local","2020-03-13","victor","VICTOR","liverpool","coacalco - 180","nordic track","NTEL05917","","","",""
"202148","Icon","Nueva","Foraneo","2020-03-12","cristina","Merida-Gabriel Hernandez","liverpool","liverpool","nordic track","otro","","cabo norte 0458","ntl142156",""
"202147","Icon","Nueva","Foraneo","2020-03-11","victor","Monterrey - Reynaldo Saldivar","liverpool","monterrey valle - 45","proform","PFTL49616-MX","","","",""
"202146","Icon","Nueva","Local","2020-03-13","cristina","VICTOR","liverpool","perisur - 5","nordic track","NTL59417","","","",""
"202145","Icon","Nueva","Local","2020-03-17","cristina","VICTOR","liverpool","perisur - 5","nordic track","NTEL05917","","","",""
"202144","Icon","Nueva","Local","2020-03-11","cristina","VICTOR","liverpool","perisur - 5","proform","otro","","","pftl59618",""
"202143","Icon","Nueva","Foraneo","2020-03-13","cristina","Chetumal- Javier Lazcano","sears","cancun - 220","weider","WEBE99712","","","",""
"202142","Icon","Nueva","Foraneo","2020-03-11","victor","Irapuato - Sergio Hernandez","sears","irapuato - 304","proform","PFEL55916","","","",""
"202141","Icon","Nueva","Foraneo","2020-03-11","cristina","Chetumal- Javier Lazcano","sears","cancun - 220","proform","PFTL34616","","","",""
"202140","Icon","Nueva","Local","2020-03-11","cristina","VICTOR","sears","sears","proform","otro","","en linea","pftl50717/llamar 1 hora antes de ir / horario de 10 a 5",""
"202139","Icon","Nueva","Foraneo","2020-03-11","victor","Hermosillo-Francisco Jimenez","sears","hermosillo - 209","proform","PFEL55916","","","",""
"202138","Tecnoservicio","Espera de refacciones","Local","2020-03-09","maya","tecnico_ausente","otro","otro","otro","otro","","","VENTA DE LUBRICANTES $1200",""
"202137","Icon","Nueva","Local","2020-03-10","jessica","rojasoscar","liverpool ventas por internet","liverpool ventas por internet","weslo","WLTL29816","","","CONFIRMADO / LLAMAR 1HR ANTES DE IR / ENTRE 10 Y 5",""
