"321100","2/8/2019 17:43:25.655445+00","ics nuevo 2 agosto ","135139","6"
"321099","2/8/2019 17:37:30.934214+00","CLIENTA OCUPADA , PIDE SE LE LLAME DESPUES ","136028","6"
"321098","2/8/2019 17:35:25.262226+00","CONFIRMADO CON CLIENTE VIERNES 9 AGOSTO ","136026","6"
"321097","2/8/2019 17:31:50.22107+00","confirmado con cliente lunes 5 agosto ","135973","6"
"321096","2/8/2019 17:23:46.520019+00","porfavor colocar refacciones que se enviaron","133686","99"
"321095","2/8/2019 17:20:40.133414+00","Equipo instalado y funcionando
24035.6
MM710G0601016","135205","242"
"321094","2/8/2019 17:20:25.938481+00","CLIENTE NC MNS BUZON ","136026","6"
"321093","2/8/2019 17:15:25.907876+00","maquina armada  pero tiene un detalle en el riel estribo izq  al parecer el defecto viene de fabrica 
client checa con esposo para saber si le hacen el cambio de pieza  ","135302","7"
"321092","2/8/2019 17:11:44.786574+00","Armado listo y funcionando correctamente  MM510C0A00795  24860.10","135664","7"
"321091","2/8/2019 17:05:46.050534+00","confirmado con leticia martinez lunes 5 agosto ","135460","6"
"321090","2/8/2019 17:05:45.154123+00","deja a cuenta 500 de su pago. ","135598","4"
"321089","2/8/2019 16:55:20.347092+00","pagó en mercado pago","136019","113"
"321088","2/8/2019 16:41:46.366782+00","CONFIRMADO CON CLIENTE SABADO 10 AGOSTO/ PIEZA DE ICS ","135636","6"
"321087","2/8/2019 16:39:30.110111+00","CONFIRMADO CON CLIENTA MIERCOLES 7 AGOSTO ","135745","6"
"321086","2/8/2019 16:31:56.044442+00","Sele contacto al cliente contesto colgo y sele marca y ya no contesta ","135672","247"
"321085","2/8/2019 16:26:12.469788+00","La banda esta rota y muy lisa, uno de los postes esta abocardado, la tabla esta rota, la banda de motor esta rota, los botones de la consola no funcionan, el motor de manejo ya no tiene potencia y se le escucha un ruido, el rodillo delantero produce un ruido como golpeteo.","134725","54"
"321084","2/8/2019 15:48:43.915146+00","PAGO CONCLUIDO EL 2/08/19","134524","99"
"321083","2/8/2019 15:47:52.253268+00","A/C $470.00  EL 2/08/19","134524","99"
"321082","2/8/2019 15:39:09.908373+00","cliente no contesto , se llamo el dia de ayer y el dia de hoy para que pasara el tecnico pero no contesta","135410","6"
"321081","2/8/2019 15:37:39.019057+00","pago en mercado pagó","136007","113"
"321080","2/8/2019 15:14:58.547982+00","armado pagado el 2/08/19","135837","99"
"321079","2/8/2019 15:13:30.712544+00","armado pagado el 2/08/19","135548","99"
"321078","2/8/2019 15:13:13.628504+00","armado pagado el 2/08/19","135289","99"
"321077","2/8/2019 15:12:42.627006+00","armado pagado el 2/08/19","135026","99"
"321076","2/8/2019 15:12:16.099013+00","armado pagado el 2/08/19","135025","99"
"321075","2/8/2019 15:11:47.960336+00","armado pagado el 2/08/19","135926","99"
"321074","2/8/2019 15:11:09.574588+00","armado pagado el 2/08/19","135761","99"
"321073","2/8/2019 15:10:41.289731+00","armado pagado el 2/08/19","135726","99"
"321072","2/8/2019 14:58:47.456256+00","armado pagado el 2/08/19","135964","99"
"321071","2/8/2019 14:57:53.913251+00","revision pagado el 2/08/19","134838","99"
"321070","2/8/2019 14:57:41.724947+00","Pasajes del servicio $100.00","134977","240"
"321069","2/8/2019 14:57:04.213976+00","PAGÓ EN MERCADO PAGO","136002","113"
"321068","2/8/2019 14:56:48.001247+00","armado pagado el 2/08/19","135909","99"
"321067","2/8/2019 14:56:17.825265+00","armado pagado el 2/08/19","135910","99"
"321066","2/8/2019 14:55:42.048444+00","reparacion pagado el 2/08/19","133251","99"
"321065","2/8/2019 14:55:14.956344+00","reparacion pagado el 2/08/19","131696","99"
"321064","2/8/2019 14:54:50.818706+00","reparacion pagado el 2/08/19","133227","99"
"321063","2/8/2019 14:54:30.9689+00","reparacion pagado el 2/08/19","133114","99"
"321062","2/8/2019 14:54:07.843844+00","armado pagado el 2/08/19","135942","99"
"321061","2/8/2019 14:51:26.555446+00","mm210c0202081","135942","99"
"321060","2/8/2019 14:51:05.695851+00","armado pagado el 2/08/19","135513","99"
"321059","2/8/2019 14:50:29.847796+00","mm800g0603236","135513","99"
"321058","2/8/2019 14:50:06.277899+00","armado pagado el 2/08/19","135226","99"
"321057","2/8/2019 14:49:39.662432+00","mm120g0300114
","135226","99"
"321056","2/8/2019 14:46:49.984136+00","armado pagado el 2/08/19","135599","99"
"321055","2/8/2019 14:39:50.679096+00","mm910c0801228","135599","99"
"321054","2/8/2019 14:39:29.500411+00","armado pagado el 2/08/19","135308","99"
"321053","2/8/2019 14:38:07.413942+00","kk600c0300320","135308","99"
"321052","2/8/2019 14:34:25.640833+00","armado pagado el 2/08/19","135791","99"
"321051","2/8/2019 14:33:57.059287+00","terminado","129621","99"
"321050","2/8/2019 14:33:42.44131+00","reparacion pagado el 2/08/19","129621","99"
"321049","2/8/2019 14:33:07.632349+00","armado pagado el 2/08/19","135931","99"
"321048","2/8/2019 14:33:00.75992+00","ok, piezas solicitadas","135931","99"
"321047","2/8/2019 14:32:59.099944+00","SERVICIO REALIZADO
NS.  KK830C0016633","135797","40"
"321046","2/8/2019 14:32:23.557827+00","revision pagado el 2/08/19","135929","99"
"321045","2/8/2019 14:32:16.767576+00","ok, piezas solicitadas","135929","99"
"321044","2/8/2019 14:31:29.220009+00","armado pagado el2/08/19","135794","99"
"321043","2/8/2019 14:30:59.558105+00","armado pagado el 2/08/19","135793","99"
"321042","2/8/2019 14:30:56.449546+00","SERVICIO REALIZADO
NS. KK740G0301786","135889","40"
